Record,NoiseType,SNR_Level,SNRI,RMSE,PSNR
203,ma,5.0,5.978805,0.12187843,30.005964
233,ma,1.25,9.338426,0.15356709,28.729347
114,ma,5.0,-2.0512094,0.08202876,22.746191
107,ma,0.0,7.7194924,0.33952084,23.475792
228,em,5.0,-0.50547713,0.14246458,24.401672
221,ma,5.0,7.8058467,0.06403069,30.656364
212,ma,1.25,8.70291,0.09512608,27.46741
107,em,0.0,5.8135304,0.42240036,21.572134
231,ma,1.25,7.4409614,0.08818888,29.179579
109,em,0.0,8.784459,0.16264538,24.305738
208,ma,0.0,11.474413,0.10933597,28.801823
200,em,0.0,7.524307,0.14756148,27.181265
209,bw,5.0,7.107665,0.058703043,31.489601
116,ma,0.0,14.241807,0.103682555,32.820583
124,bw,1.25,11.134873,0.090345845,30.144426
231,bw,5.0,5.1917057,0.07383156,30.672169
106,ma,5.0,6.2911053,0.093743406,29.928612
118,em,0.0,5.123968,0.2205412,22.752716
222,ma,0.0,4.3283186,0.07894631,24.407183
107,ma,1.25,6.739819,0.32900116,23.746119
217,ma,1.25,6.552109,0.23642325,24.370174
215,em,0.0,9.171228,0.09515913,28.112787
117,ma,1.25,7.261991,0.07730226,27.280722
109,bw,0.0,12.568272,0.10501615,28.090477
230,em,5.0,8.392315,0.07119114,33.694035
221,em,0.0,9.75477,0.092591316,27.60451
122,ma,1.25,14.84495,0.056987304,31.492098
217,em,5.0,2.6276054,0.24066351,24.192142
114,em,1.25,0.968831,0.08913541,22.014893
103,ma,1.25,14.2990885,0.05113267,33.90145
212,bw,5.0,5.0713296,0.094172195,27.585379
212,bw,0.0,10.046108,0.09447435,27.560156
118,em,5.0,1.4815918,0.18837424,24.11034
117,ma,5.0,3.9650023,0.07345494,27.733727
232,ma,1.25,6.192265,0.057831343,27.393724
205,em,5.0,8.584878,0.03761932,32.56145
203,em,1.25,6.995234,0.16594197,27.275248
213,ma,1.25,13.853669,0.10816708,31.547974
