Time(s),True_Raw_500Hz,Denoised_Resampled_500Hz
20.2700,-1450.000000,-0.001739
20.2720,-1464.000000,-0.000946
20.2740,-1464.000000,-0.000980
20.2760,-1455.000000,-0.000187
20.2780,-1465.000000,0.000133
20.2800,-1472.000000,-0.000230
20.2820,-1452.000000,0.000691
20.2840,-1449.000000,0.001773
20.2860,-1448.000000,0.002149
20.2880,-1450.000000,0.002256
20.2900,-1441.000000,0.002206
20.2920,-1429.000000,0.003092
20.2940,-1438.000000,0.004332
20.2960,-1429.000000,0.004802
20.2980,-1411.000000,0.005010
20.3000,-1401.000000,0.004521
20.3020,-1390.000000,0.004182
20.3040,-1387.000000,0.004920
20.3060,-1379.000000,0.005196
20.3080,-1372.000000,0.005729
20.3100,-1364.000000,0.006605
20.3120,-1368.000000,0.006183
20.3140,-1351.000000,0.006674
20.3160,-1359.000000,0.008319
20.3180,-1352.000000,0.009302
20.3200,-1347.000000,0.011322
20.3220,-1344.000000,0.013125
20.3240,-1326.000000,0.013239
20.3260,-1312.000000,0.014356
20.3280,-1291.000000,0.015525
20.3300,-1259.000000,0.015833
20.3320,-1271.000000,0.016852
20.3340,-1269.000000,0.016531
20.3360,-1257.000000,0.015052
20.3380,-1256.000000,0.015025
20.3400,-1236.000000,0.015727
20.3420,-1217.000000,0.017027
20.3440,-1197.000000,0.018114
20.3460,-1198.000000,0.017528
20.3480,-1181.000000,0.017222
20.3500,-1174.000000,0.018346
20.3520,-1173.000000,0.021268
20.3540,-1158.000000,0.025016
20.3560,-1131.000000,0.025963
20.3580,-1113.000000,0.026435
20.3600,-1112.000000,0.029221
20.3620,-1089.000000,0.031011
20.3640,-1078.000000,0.033174
20.3660,-1051.000000,0.035986
20.3680,-1026.000000,0.034666
20.3700,-1010.000000,0.032829
20.3720,-952.000000,0.034054
20.3740,-910.000000,0.034771
20.3760,-907.000000,0.034827
20.3780,-888.000000,0.033898
20.3800,-857.000000,0.031540
20.3820,-827.000000,0.031895
20.3840,-812.000000,0.034579
20.3860,-773.000000,0.036248
20.3880,-704.000000,0.036835
20.3900,-669.000000,0.037052
20.3920,-643.000000,0.039338
20.3940,-620.000000,0.043757
20.3960,-608.000000,0.047173
20.3980,-583.000000,0.049470
20.4000,-552.000000,0.050028
20.4020,-512.000000,0.049913
20.4040,-497.000000,0.052784
20.4060,-478.000000,0.055319
20.4080,-459.000000,0.055481
20.4100,-411.000000,0.056445
20.4120,-386.000000,0.056043
20.4140,-342.000000,0.054764
20.4160,-285.000000,0.056314
20.4180,-259.000000,0.057552
20.4200,-201.000000,0.057580
20.4220,-162.000000,0.058207
20.4240,-132.000000,0.058212
20.4260,-97.000000,0.059429
20.4280,-71.000000,0.062124
20.4300,-38.000000,0.063498
20.4320,1.000000,0.064420
20.4340,39.000000,0.065202
20.4360,73.000000,0.066375
20.4380,102.000000,0.069270
20.4400,136.000000,0.071685
20.4420,153.000000,0.073709
20.4440,167.000000,0.075476
20.4460,206.000000,0.074857
20.4480,267.000000,0.075191
20.4500,286.000000,0.077562
20.4520,298.000000,0.079157
20.4540,304.000000,0.081632
20.4560,322.000000,0.083170
20.4580,355.000000,0.082368
20.4600,393.000000,0.084540
20.4620,426.000000,0.088350
20.4640,450.000000,0.089976
20.4660,496.000000,0.090737
20.4680,528.000000,0.090149
20.4700,543.000000,0.090125
20.4720,576.000000,0.092580
20.4740,609.000000,0.093971
20.4760,646.000000,0.094146
20.4780,667.000000,0.093596
20.4800,694.000000,0.092255
20.4820,731.000000,0.094313
20.4840,770.000000,0.098263
20.4860,802.000000,0.100120
20.4880,834.000000,0.101177
20.4900,848.000000,0.100911
20.4920,863.000000,0.101275
20.4940,868.000000,0.104628
20.4960,874.000000,0.106253
20.4980,902.000000,0.105941
20.5000,931.000000,0.105372
20.5020,931.000000,0.103022
20.5040,944.000000,0.103193
20.5060,969.000000,0.104876
20.5080,1030.000000,0.101948
20.5100,1080.000000,0.098607
20.5120,1086.000000,0.097217
20.5140,1074.000000,0.096117
20.5160,992.000000,0.097738
20.5180,893.000000,0.098788
20.5200,788.000000,0.097335
20.5220,703.000000,0.097948
20.5240,610.000000,0.100037
20.5260,508.000000,0.103511
20.5280,419.000000,0.107778
20.5300,323.000000,0.107770
20.5320,234.000000,0.106127
20.5340,130.000000,0.106095
20.5360,56.000000,0.105596
20.5380,-33.000000,0.105395
20.5400,-89.000000,0.102818
20.5420,-165.000000,0.097539
20.5440,-234.000000,0.095531
20.5460,-291.000000,0.093791
20.5480,-365.000000,0.090376
20.5500,-454.000000,0.088857
20.5520,-536.000000,0.085202
20.5540,-591.000000,0.081423
20.5560,-682.000000,0.082429
20.5580,-748.000000,0.081399
20.5600,-806.000000,0.078657
