Time(s),True_Raw_500Hz,Denoised_Resampled_500Hz
1.0800,-5202.000000,-0.109008
1.0820,-5207.000000,-0.111395
1.0840,-5286.000000,-0.122591
1.0860,-5362.000000,-0.137581
1.0880,-5399.000000,-0.144721
1.0900,-5385.000000,-0.148505
1.0920,-5335.000000,-0.157358
1.0940,-5345.000000,-0.169627
1.0960,-5446.000000,-0.179522
1.0980,-5382.000000,-0.184961
1.1000,-5384.000000,-0.184352
1.1020,-5458.000000,-0.179287
1.1040,-5470.000000,-0.179969
1.1060,-5499.000000,-0.186175
1.1080,-5542.000000,-0.186937
1.1100,-5551.000000,-0.185423
1.1120,-5524.000000,-0.186614
1.1140,-5494.000000,-0.188751
1.1160,-5608.000000,-0.195434
1.1180,-5654.000000,-0.201512
1.1200,-5627.000000,-0.203281
1.1220,-5604.000000,-0.212404
1.1240,-5692.000000,-0.223474
1.1260,-5707.000000,-0.225542
1.1280,-5677.000000,-0.230336
1.1300,-5651.000000,-0.241407
1.1320,-5679.000000,-0.249427
1.1340,-5708.000000,-0.253400
1.1360,-5764.000000,-0.254870
1.1380,-5733.000000,-0.258193
1.1400,-5803.000000,-0.263026
1.1420,-5899.000000,-0.261612
1.1440,-5894.000000,-0.257163
1.1460,-5965.000000,-0.252231
1.1480,-5967.000000,-0.246324
1.1500,-5934.000000,-0.248141
1.1520,-5968.000000,-0.251166
1.1540,-6017.000000,-0.245293
1.1560,-5947.000000,-0.243708
1.1580,-6010.000000,-0.250868
1.1600,-6177.000000,-0.259562
1.1620,-6209.000000,-0.270407
1.1640,-6174.000000,-0.275856
1.1660,-6134.000000,-0.271660
1.1680,-6158.000000,-0.267118
1.1700,-6108.000000,-0.264896
1.1720,-6121.000000,-0.265230
1.1740,-6130.000000,-0.263897
1.1760,-6131.000000,-0.250740
1.1780,-6134.000000,-0.233012
1.1800,-6157.000000,-0.220910
1.1820,-6259.000000,-0.209897
1.1840,-6234.000000,-0.199188
1.1860,-6187.000000,-0.189007
1.1880,-6084.000000,-0.176924
1.1900,-6043.000000,-0.169827
1.1920,-6076.000000,-0.172322
1.1940,-5927.000000,-0.176372
1.1960,-5834.000000,-0.173947
1.1980,-5972.000000,-0.171410
1.2000,-5913.000000,-0.179814
1.2020,-5819.000000,-0.191940
1.2040,-5767.000000,-0.196857
1.2060,-3161.000000,-0.196720
1.2080,-3009.000000,-0.190568
1.2100,-2808.000000,-0.181857
1.2120,-2644.000000,-0.179399
1.2140,-2589.000000,-0.174524
1.2160,-2482.000000,-0.161390
1.2180,-2299.000000,-0.147974
1.2200,-2119.000000,-0.135427
1.2220,-1974.000000,-0.126645
1.2240,-1807.000000,-0.123470
1.2260,-1673.000000,-0.118106
1.2280,-1509.000000,-0.110182
1.2300,-1364.000000,-0.099991
1.2320,-1269.000000,-0.086945
1.2340,-1154.000000,-0.077265
1.2360,-1111.000000,-0.064734
1.2380,-898.000000,-0.045646
1.2400,-739.000000,-0.031415
1.2420,-644.000000,-0.018901
1.2440,-442.000000,-0.005075
1.2460,-339.000000,0.001864
1.2480,-31.000000,0.007718
1.2500,66.000000,0.014787
1.2520,64.000000,0.018578
1.2540,176.000000,0.025592
1.2560,371.000000,0.032061
1.2580,456.000000,0.031932
1.2600,484.000000,0.033500
1.2620,576.000000,0.038116
1.2640,700.000000,0.044526
1.2660,787.000000,0.053245
1.2680,924.000000,0.059392
1.2700,1013.000000,0.066119
1.2720,989.000000,0.074146
1.2740,1006.000000,0.079792
1.2760,1092.000000,0.089926
1.2780,1184.000000,0.099418
1.2800,1324.000000,0.100497
1.2820,1388.000000,0.103992
1.2840,1464.000000,0.107570
1.2860,1545.000000,0.106050
1.2880,1614.000000,0.110772
1.2900,1736.000000,0.115406
1.2920,1772.000000,0.109864
1.2940,1846.000000,0.104628
1.2960,2668.000000,0.104278
1.2980,2748.000000,0.106833
1.3000,2761.000000,0.111788
1.3020,2766.000000,0.115472
1.3040,2799.000000,0.120271
1.3060,2813.000000,0.127623
1.3080,2813.000000,0.134815
1.3100,2813.000000,0.142763
1.3120,2838.000000,0.147913
1.3140,2831.000000,0.150725
1.3160,2848.000000,0.156353
1.3180,2907.000000,0.159368
1.3200,2862.000000,0.159622
1.3220,2966.000000,0.160605
1.3240,2925.000000,0.156718
1.3260,2942.000000,0.153078
1.3280,2934.000000,0.155546
1.3300,2948.000000,0.157199
1.3320,3005.000000,0.158713
1.3340,2998.000000,0.161536
1.3360,2971.000000,0.163424
1.3380,3025.000000,0.168303
1.3400,3047.000000,0.173750
1.3420,3061.000000,0.177881
1.3440,3091.000000,0.183221
1.3460,3093.000000,0.183664
1.3480,3083.000000,0.182040
1.3500,3080.000000,0.185071
1.3520,3134.000000,0.185931
1.3540,3166.000000,0.185640
1.3560,3224.000000,0.185700
1.3580,3219.000000,0.179495
1.3600,3222.000000,0.175503
1.3620,3243.000000,0.178172
1.3640,3273.000000,0.178502
1.3660,3286.000000,0.179045
1.3680,3264.000000,0.180995
1.3700,3281.000000,0.180974
1.3720,3298.000000,0.184377
1.3740,3349.000000,0.189979
1.3760,3366.000000,0.192910
1.3780,3414.000000,0.194453
