Time(s),True_Raw_500Hz,Denoised_Resampled_500Hz
18.1040,-944.000000,0.342738
18.1060,-891.000000,0.367454
18.1080,-828.000000,0.386906
18.1100,-784.000000,0.397729
18.1120,-733.000000,0.401781
18.1140,-690.000000,0.415038
18.1160,-647.000000,0.440782
18.1180,-617.000000,0.458517
18.1200,-570.000000,0.461499
18.1220,-538.000000,0.458810
18.1240,-501.000000,0.461447
18.1260,-470.000000,0.476612
18.1280,-412.000000,0.492007
18.1300,-385.000000,0.496302
18.1320,-362.000000,0.496123
18.1340,-312.000000,0.496392
18.1360,-282.000000,0.503367
18.1380,-284.000000,0.517542
18.1400,-266.000000,0.523709
18.1420,-212.000000,0.523151
18.1440,-196.000000,0.526394
18.1460,-167.000000,0.527959
18.1480,-143.000000,0.528607
18.1500,-127.000000,0.531939
18.1520,-111.000000,0.532929
18.1540,-94.000000,0.534983
18.1560,-82.000000,0.537904
18.1580,-79.000000,0.534551
18.1600,-60.000000,0.528998
18.1620,-29.000000,0.524137
18.1640,-39.000000,0.519449
18.1660,-24.000000,0.518738
18.1680,-32.000000,0.518871
18.1700,-34.000000,0.516546
18.1720,-31.000000,0.515220
18.1740,-16.000000,0.516860
18.1760,4.000000,0.522266
18.1780,6.000000,0.526495
18.1800,0.000000,0.525098
18.1820,1.000000,0.525594
18.1840,8.000000,0.529972
18.1860,9.000000,0.532195
18.1880,0.000000,0.532622
18.1900,9.000000,0.530387
18.1920,8.000000,0.525416
18.1940,8.000000,0.523554
18.1960,4.000000,0.525109
18.1980,-1.000000,0.526818
18.2000,-6.000000,0.526035
18.2020,4.000000,0.521670
18.2040,-14.000000,0.519223
18.2060,-9.000000,0.519189
18.2080,-4.000000,0.515507
18.2100,-32.000000,0.510762
18.2120,-32.000000,0.509569
18.2140,-29.000000,0.511179
18.2160,-44.000000,0.513386
18.2180,-65.000000,0.512442
18.2200,-58.000000,0.509150
18.2220,-68.000000,0.506824
18.2240,-55.000000,0.504758
18.2260,-58.000000,0.504935
18.2280,-68.000000,0.506724
18.2300,-74.000000,0.504359
18.2320,-85.000000,0.501207
18.2340,-89.000000,0.503282
18.2360,-79.000000,0.508215
18.2380,-62.000000,0.511044
18.2400,-74.000000,0.508039
18.2420,-72.000000,0.502465
18.2440,-86.000000,0.501674
18.2460,-119.000000,0.504988
18.2480,-117.000000,0.507765
18.2500,-99.000000,0.505652
18.2520,-82.000000,0.497760
18.2540,-99.000000,0.493479
18.2560,-97.000000,0.497160
18.2580,-102.000000,0.500639
18.2600,-122.000000,0.500197
18.2620,-109.000000,0.497960
18.2640,-101.000000,0.497465
18.2660,-111.000000,0.500636
18.2680,-116.000000,0.500391
18.2700,-99.000000,0.494536
18.2720,-106.000000,0.492058
18.2740,-104.000000,0.494824
18.2760,-104.000000,0.498765
18.2780,-97.000000,0.500715
18.2800,-101.000000,0.496703
18.2820,-91.000000,0.490216
18.2840,-89.000000,0.487840
18.2860,-100.000000,0.489125
18.2880,-114.000000,0.491210
18.2900,-112.000000,0.489163
18.2920,-116.000000,0.481373
18.2940,-119.000000,0.475131
18.2960,-133.000000,0.472333
18.2980,-122.000000,0.468940
18.3000,-128.000000,0.466675
18.3020,-137.000000,0.466765
18.3040,-131.000000,0.467404
18.3060,-134.000000,0.468513
18.3080,-149.000000,0.469380
18.3100,-145.000000,0.469878
18.3120,-143.000000,0.471525
18.3140,-153.000000,0.474277
18.3160,-145.000000,0.476615
18.3180,-167.000000,0.476820
18.3200,-173.000000,0.474982
18.3220,-179.000000,0.473217
18.3240,-187.000000,0.473502
18.3260,-194.000000,0.475753
18.3280,-184.000000,0.475779
18.3300,-196.000000,0.471719
18.3320,-219.000000,0.467843
18.3340,-224.000000,0.464604
18.3360,-243.000000,0.460903
18.3380,-252.000000,0.459300
18.3400,-251.000000,0.456330
18.3420,-259.000000,0.449013
18.3440,-261.000000,0.443862
18.3460,-277.000000,0.443246
18.3480,-299.000000,0.443350
18.3500,-311.000000,0.442986
18.3520,-335.000000,0.441928
18.3540,-348.000000,0.440856
18.3560,-354.000000,0.440297
18.3580,-382.000000,0.438823
18.3600,-402.000000,0.436121
18.3620,-404.000000,0.432207
18.3640,-407.000000,0.428766
18.3660,-427.000000,0.428276
